date,opponent,competition,attendance,capacity,primary_avg_gbp,opponent_tier,notes
2025-08-09,Hull City,Championship,29052,32609,32,2,season opener
2025-08-23,Queens Park Rangers,Championship,29015,32609,32,2,
2025-09-13,Norwich City,Championship,30547,32609,34,3,
2025-09-27,Birmingham City,Championship,30585,32609,34,3,local rivalry
2025-10-18,Blackburn Rovers,Championship,29606,32609,32,2,
2025-10-25,Watford,Championship,30109,32609,33,2,
2025-11-04,Sheffield United,Championship,29589,32609,34,3,
2025-11-22,West Bromwich Albion,Championship,29216,32609,33,3,
2025-11-29,Charlton Athletic,Championship,31141,32609,34,2,
2025-12-13,Bristol City,Championship,29505,32609,32,2,
2025-12-26,Swansea City,Championship,30139,32609,35,2,Boxing Day
2025-12-29,Ipswich Town,Championship,31213,32609,36,4,promoted rivals
2026-01-17,Leicester City,Championship,31410,32609,38,4,former PL
2026-01-20,Millwall,Championship,28605,32609,30,2,softest home
2026-02-07,Oxford United,Championship,30218,32609,32,2,
2026-02-16,Middlesbrough,Championship,30908,32609,34,3,
2026-02-28,Stoke City,Championship,31516,32609,35,3,
2026-03-14,Southampton,Championship,31281,32609,37,4,former PL
2026-04-03,Derby County,Championship,31349,32609,35,3,
2026-04-11,Sheffield Wednesday,Championship,31647,32609,36,3,season high
