date,opponent,competition,attendance,capacity,primary_avg_gbp,opponent_tier,notes
2025-08-09,Walsall,League Two,6498,11582,20,2,
2025-08-19,Chesterfield,League Two,5518,11582,20,2,
2025-08-23,Crewe Alexandra,League Two,6089,11582,20,2,
2025-09-13,Notts County,League Two,6743,11582,22,3,
2025-09-27,Harrogate Town,League Two,7406,11582,20,2,season high early
2025-10-11,Cheltenham Town,League Two,6038,11582,20,2,
2025-10-25,Salford City,League Two,6174,11582,22,3,
2025-11-15,Crawley Town,League Two,6252,11582,20,2,
2025-11-22,Barnet,League Two,5778,11582,20,2,
2025-12-13,Barrow,League Two,5500,11582,20,2,
2025-12-26,Cambridge United,League Two,7344,11582,22,3,
2025-12-29,Colchester United,League Two,7284,11582,22,3,
2026-01-31,Bromley,League Two,8164,11582,24,4,Kent derby pull
2026-02-07,Tranmere Rovers,League Two,5564,11582,20,2,
2026-02-21,Oldham Athletic,League Two,5868,11582,20,2,
2026-03-07,Fleetwood Town,League Two,5297,11582,20,2,
2026-03-10,Milton Keynes Dons,League Two,4786,11582,22,3,softest midweek-ish gate
2026-03-17,Swindon Town,League Two,4991,11582,24,4,rivalry
2026-04-06,Accrington Stanley,League Two,5383,11582,20,2,
2026-04-18,Grimsby Town,League Two,5863,11582,20,2,
2026-05-02,Shrewsbury Town,League Two,6415,11582,20,2,
