club,season,opponent,big_six_away,secondary_get_in_gbp,primary_band_gbp,attendance_pct
Ipswich Town,2024-25,Liverpool,1,118,52,0.98
Ipswich Town,2024-25,Arsenal,1,105,52,0.96
Ipswich Town,2024-25,Brentford,0,38,45,0.82
Ipswich Town,2024-25,Fulham,0,42,45,0.85
Luton Town,2023-24,Manchester City,1,95,50,0.99
Luton Town,2023-24,Sheffield Utd,0,35,42,0.78
Luton Town,2023-24,Burnley,0,40,42,0.88
Sunderland,2025-26,Liverpool,1,122,55,0.99
Sunderland,2025-26,Crystal Palace,0,41,48,0.84
Sunderland,2025-26,Wolves,0,39,48,0.81
