attendance,fill_pct,primary,secondary_or_wtp,ratio,class,action,actual_ticket_rev,actual_conc_rev,actual_total,opt_price,opt_attendance,opt_fill_pct,opt_ticket_rev,opt_conc_rev,opt_total,lift,date,opponent,competition,phase,certainty,confidence,confidence_label,confidence_reason,played,secondary_source,primary_source,model_secondary,att_lo90,att_hi90,lift_lo90,lift_hi90,days_out,opponent_tier
6498,56.1,23.0,28.8,1.25,fair,MONITOR,149454,38988,188442,24.15,6498,56.1,156927,38988,195915,7473,2025-08-09,Walsall,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_warm,club_sales_band,28.8,,,,,,
5518,47.6,23.0,24.5,1.07,soft,PROMO_TARGET,126914,33108,160022,21.39,6180,53.4,132190,37080,169270,9248,2025-08-19,Chesterfield,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_soft,club_sales_band,24.5,,,,,,
6089,52.6,23.0,24.5,1.07,soft,PROMO_TARGET,140047,36534,176581,21.39,6819,58.9,145858,40914,186772,10191,2025-08-23,Crewe Alexandra,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_soft,club_sales_band,24.5,,,,,,
6743,58.2,24.0,28.8,1.2,fair,MONITOR,161832,40458,202290,25.2,6743,58.2,169924,40458,210382,8092,2025-09-13,Notts County,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_warm,club_sales_band,28.8,,,,,,
7406,63.9,23.0,28.8,1.25,undervalued,PRICE_CAPTURE,170338,44436,214774,25.61,7406,63.9,189668,44436,234104,19330,2025-09-27,Harrogate Town,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_warm,club_sales_band,28.8,,,,,,
6038,52.1,23.0,24.5,1.07,soft,PROMO_TARGET,138874,36228,175102,21.39,6762,58.4,144639,40572,185211,10109,2025-10-11,Cheltenham Town,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_soft,club_sales_band,24.5,,,,,,
6174,53.3,24.0,28.8,1.2,fair,MONITOR,148176,37044,185220,25.2,6174,53.3,155585,37044,192629,7409,2025-10-25,Salford City,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_warm,club_sales_band,28.8,,,,,,
6252,54.0,23.0,24.5,1.07,soft,PROMO_TARGET,143796,37512,181308,21.39,7002,60.5,149773,42012,191785,10477,2025-11-15,Crawley Town,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_soft,club_sales_band,24.5,,,,,,
5778,49.9,23.0,24.5,1.07,soft,PROMO_TARGET,132894,34668,167562,21.39,6471,55.9,138415,38826,177241,9679,2025-11-22,Barnet,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_soft,club_sales_band,24.5,,,,,,
5500,47.5,23.0,24.5,1.07,soft,PROMO_TARGET,126500,33000,159500,21.39,6160,53.2,131762,36960,168722,9222,2025-12-13,Barrow,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_soft,club_sales_band,24.5,,,,,,
7344,63.4,24.0,28.8,1.2,fair,MONITOR,176256,44064,220320,25.2,7344,63.4,185069,44064,229133,8813,2025-12-26,Cambridge United,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_warm,club_sales_band,28.8,,,,,,
7284,62.9,24.0,28.8,1.2,fair,MONITOR,174816,43704,218520,25.2,7284,62.9,183557,43704,227261,8741,2025-12-29,Colchester United,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_warm,club_sales_band,28.8,,,,,,
8164,70.5,25.0,30.5,1.22,undervalued,PRICE_CAPTURE,204100,48984,253084,27.48,8164,70.5,224306,48984,273290,20206,2026-01-31,Bromley,League Two,historical,observed_attendance,92,high,observed attendance + club/L2 sales prior,True,l2_sales_prior_rivalry,club_sales_band,30.5,,,,,,
