track,fixture,date,days_out,horizon_days,pred_secondary,pred_t30,pred_t14,pred_t3,primary_band,gap,live_secondary,action,big_six_away
pl_coventry,Coventry City vs Newcastle United,2026-10-10,17,14,243.0,78.03,76.14,82.08,48.0,195.0,243.0,HOLD,0
pl_coventry,Coventry City vs Fulham,2026-10-24,31,30,148.0,67.5,76.14,82.08,45.0,103.0,148.0,HOLD,0
pl_coventry,Coventry City vs Sunderland,2026-10-31,38,30,243.0,67.5,76.14,82.08,45.0,198.0,243.0,HOLD,0
pl_coventry,Coventry City vs Crystal Palace,2026-11-21,59,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Ipswich Town,2026-12-02,70,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Aston Villa,2026-12-12,80,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Chelsea,2026-12-26,94,30,95.0,95.0,107.16,115.52,45.0,50.0,,HOLD,1
pl_coventry,Coventry City vs Brentford,2026-12-30,98,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Everton,2027-01-16,115,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Leeds United,2027-01-30,129,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Liverpool,2027-02-10,140,30,95.0,95.0,107.16,115.52,55.0,40.0,,HOLD,1
pl_coventry,Coventry City vs Bournemouth,2027-02-27,157,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
pl_coventry,Coventry City vs Manchester City,2027-03-13,171,30,95.0,95.0,107.16,115.52,55.0,40.0,,HOLD,1
pl_coventry,Coventry City vs Arsenal,2027-04-10,199,30,95.0,95.0,107.16,115.52,55.0,40.0,,HOLD,1
pl_coventry,Coventry City vs Manchester United,2027-05-01,220,30,95.0,95.0,107.16,115.52,45.0,50.0,,HOLD,1
pl_coventry,Coventry City vs Tottenham Hotspur,2027-05-15,234,30,95.0,95.0,107.16,115.52,45.0,50.0,,HOLD,1
pl_coventry,Coventry City vs Nottingham Forest,2027-05-30,249,30,67.5,67.5,76.14,82.08,45.0,22.5,,HOLD,0
